iter	Passed	Remaining
0	136	136727
1	137	68712
2	138	46057
3	139	34655
4	139	27817
5	140	23279
6	141	20024
7	141	17581
8	142	15682
9	143	14163
10	143	12918
11	144	11878
12	144	11002
13	145	10264
14	146	9620
15	147	9058
16	147	8554
17	148	8105
18	149	7702
19	149	7338
20	150	7018
21	151	6725
22	151	6456
23	152	6212
24	153	5982
25	154	5769
26	154	5571
27	155	5396
28	156	5233
29	156	5073
30	157	4924
31	158	4785
32	158	4653
33	159	4529
34	160	4416
35	161	4323
36	162	4223
37	162	4123
38	163	4031
39	164	3941
40	164	3855
41	165	3773
42	166	3696
43	166	3625
44	167	3554
45	168	3488
46	168	3423
47	169	3360
48	170	3302
49	170	3245
50	171	3192
51	172	3138
52	172	3086
53	173	3037
54	173	2988
55	174	2943
56	175	2899
57	176	2860
58	176	2819
59	177	2779
60	178	2741
61	178	2704
62	179	2668
63	180	2634
64	181	2604
65	181	2572
66	182	2541
67	183	2509
68	183	2479
69	184	2450
70	185	2421
71	185	2393
72	186	2366
73	187	2341
74	187	2316
75	188	2292
76	189	2269
77	189	2244
78	190	2220
79	191	2197
80	191	2174
81	192	2155
82	192	2131
83	193	2111
84	194	2091
85	194	2070
86	195	2050
87	195	2031
88	196	2012
89	197	1994
90	197	1977
91	198	1960
92	199	1943
93	199	1926
94	200	1909
95	201	1893
96	201	1877
97	202	1861
98	202	1847
99	203	1832
100	204	1817
101	204	1802
102	205	1788
103	205	1774
104	206	1760
105	207	1747
106	207	1734
107	208	1721
108	209	1709
109	209	1696
110	210	1684
111	210	1672
112	211	1659
113	212	1647
114	212	1637
115	213	1627
116	214	1615
117	214	1605
118	215	1595
119	216	1584
120	216	1574
121	217	1562
122	217	1552
123	218	1542
124	219	1533
125	219	1523
126	220	1513
127	220	1504
128	221	1495
129	222	1485
130	222	1476
131	223	1467
132	223	1459
133	224	1451
134	225	1442
135	225	1434
136	226	1425
137	226	1417
138	227	1409
139	228	1401
140	228	1393
141	229	1385
142	229	1377
143	230	1370
144	231	1362
145	231	1355
146	232	1347
147	232	1340
148	233	1333
149	234	1326
150	234	1320
151	235	1313
152	236	1306
153	236	1299
154	237	1292
155	237	1286
156	238	1279
157	238	1273
158	239	1267
159	240	1261
160	240	1254
161	241	1249
162	242	1243
163	242	1237
164	243	1231
165	243	1225
166	244	1219
167	245	1214
168	246	1210
169	246	1205
170	247	1199
171	247	1193
172	248	1188
173	249	1182
174	249	1177
175	250	1172
176	251	1167
177	251	1162
178	252	1157
179	253	1152
180	253	1147
181	254	1142
182	254	1137
183	255	1133
184	256	1128
185	256	1123
186	257	1119
187	258	1114
188	258	1109
189	259	1105
190	259	1100
191	260	1096
192	261	1091
193	261	1087
194	262	1083
195	262	1078
196	263	1074
197	264	1069
198	264	1065
199	265	1061
200	265	1057
201	266	1053
202	267	1049
203	267	1045
204	268	1041
205	269	1037
206	269	1033
207	270	1029
208	270	1025
209	271	1021
210	272	1017
211	272	1014
212	273	1010
213	273	1006
214	274	1002
